DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
1	4	D08_ZH_R1	D08	ZH	R1	2	August 27, 2021	169031860	Kit 2	1.8	55.56	Dylan	D08.ZH.R1	Zymo	Hot
1	4	D10_ZR_R1	D10	ZR	R1	4	August 27, 2021	169031860	Kit 2	3.8	26.32	Dylan	D10.ZR.R1	Zymo	Room Temp
1	4	D02_OH_R1	D02	OH	R1	5	August 27, 2021	169031860	Kit 2	80.2	1.25	Dylan	D02.OH.R1	Omnigene	Hot
1	4	D10_OH_R1	D10	OH	R1	6	August 27, 2021	169031860	Kit 2	44	2.27	Dylan	D10.OH.R1	Omnigene	Hot
1	4	D09_NF_R1	D09	NF	R1	7	August 27, 2021	169031860	Kit 2	99.6	1	Dylan	D09.NF.R1	No Preservative	Frozen
1	4	D07_OR_R1	D07	OR	R1	8	August 27, 2021	169031860	Kit 2	106	0.94	Dylan	D07.OR.R1	Omnigene	Room Temp
1	4	D02_ZR_R1	D02	ZR	R1	9	August 27, 2021	169031860	Kit 2	12.4	8.06	Dylan	D02.ZR.R1	Zymo	Room Temp
1	4	D06_ZR_R1	D06	ZR	R1	10	August 27, 2021	169031860	Kit 2	8.84	11.31	Dylan	D06.ZR.R1	Zymo	Room Temp
1	4	D09_ZF_R1	D09	ZF	R1	11	August 27, 2021	169031860	Kit 2	5.64	17.73	Dylan	D09.ZF.R1	Zymo	Frozen
1	4	D08_OF_R1	D08	OF	R1	12	August 27, 2021	169031860	Kit 2	90.2	1.11	Dylan	D08.OF.R1	Omnigene	Frozen
1	4	D01_NF_R1	D01	NF	R1	13	August 27, 2021	169031860	Kit 2	98.4	1.02	Dylan	D01.NF.R1	No Preservative	Frozen
1	4	D04_ZH_R1	D04	ZH	R1	14	August 27, 2021	169031860	Kit 2	9.32	10.73	Dylan	D04.ZH.R1	Zymo	Hot
1	4	D05_ZF_R1	D05	ZF	R1	15	August 27, 2021	169031860	Kit 2	15.4	6.49	Dylan	D05.ZF.R1	Zymo	Frozen
1	4	D01_ZF_R1	D01	ZF	R1	16	August 27, 2021	169031860	Kit 2	35	2.86	Dylan	D01.ZF.R1	Zymo	Frozen
1	4	D03_OR_R1	D03	OR	R1	17	August 27, 2021	169031860	Kit 2	24	4.17	Dylan	D03.OR.R1	Omnigene	Room Temp
1	4	D05_NF_R1	D05	NF	R1	19	August 27, 2021	169031860	Kit 2	87.4	1.14	Dylan	D05.NF.R1	No Preservative	Frozen
1	4	D06_OH_R1	D06	OH	R1	20	August 27, 2021	169031860	Kit 2	102	0.98	Dylan	D06.OH.R1	Omnigene	Hot
2	1	D02_OR_R2	D02	OR	R2	1	August 27, 2021	169031860	Kit 3	98.2	1.02	Ryan	D02.OR.R2	Omnigene	Room Temp
2	1	D08_ZH_R2	D08	ZH	R2	2	August 27, 2021	169031860	Kit 3	4.26	23.47	Ryan	D08.ZH.R2	Zymo	Hot
2	1	D06_ZR_R2	D06	ZR	R2	3	August 27, 2021	169031860	Kit 3	3.42	29.24	Ryan	D06.ZR.R2	Zymo	Room Temp
2	1	D10_ZR_R2	D10	ZR	R2	4	August 27, 2021	169031860	Kit 3	4.8	20.83	Ryan	D10.ZR.R2	Zymo	Room Temp
2	1	D04_ZH_R2	D04	ZH	R2	6	August 27, 2021	169031860	Kit 3	3.8	26.32	Ryan	D04.ZH.R2	Zymo	Hot
2	1	D05_ZF_R2	D05	ZF	R2	7	August 27, 2021	169031860	Kit 3	4.52	22.12	Ryan	D05.ZF.R2	Zymo	Frozen
2	1	D08_OF_R2	D08	OF	R2	8	August 27, 2021	169031860	Kit 3	139.2	0.72	Ryan	D08.OF.R2	Omnigene	Frozen
2	1	D09_ZF_R2	D09	ZF	R2	9	August 27, 2021	169031860	Kit 3	6.22	16.08	Ryan	D09.ZF.R2	Zymo	Frozen
2	1	D07_OH_R2	D07	OH	R2	10	August 27, 2021	169031860	Kit 3	66.6	1.5	Ryan	D07.OH.R2	Omnigene	Hot
